sample,label,FOXA2.10000.txt_amplitude,LEF1.10000.txt_amplitude,MIXL1.10000.txt_amplitude,NR1H2.10000.txt_amplitude,NR5A2.10000.txt_amplitude,ZIM3.10000.txt_amplitude,AHR.10000.txt_central_coverage,AR.10000.txt_central_coverage,ATF2.10000.txt_central_coverage,ATF7.10000.txt_central_coverage,CEBPA.10000.txt_central_coverage,EOMES.10000.txt_central_coverage,ERF.10000.txt_central_coverage,ESR1.10000.txt_central_coverage,FOXA1.10000.txt_central_coverage,FOXA2.10000.txt_central_coverage,FOXA3.10000.txt_central_coverage,GATA4.10000.txt_central_coverage,GATA6.10000.txt_central_coverage,HLF.10000.txt_central_coverage,HMGA1.10000.txt_central_coverage,HOXA2.10000.txt_central_coverage,IKZF2.10000.txt_central_coverage,IRF4.10000.txt_central_coverage,MYNN.10000.txt_central_coverage,NFIL3.10000.txt_central_coverage,NKX3.1.10000.txt_central_coverage,NR1H2.10000.txt_central_coverage,NR2F6.10000.txt_central_coverage,NR4A1.10000.txt_central_coverage,PHOX2B.10000.txt_central_coverage,PRDM1.10000.txt_central_coverage,RARA.10000.txt_central_coverage,SOX13.10000.txt_central_coverage,SOX5.10000.txt_central_coverage,SPIB.10000.txt_central_coverage,TCF3.10000.txt_central_coverage,TCF4.10000.txt_central_coverage,TCF7.10000.txt_central_coverage,TLX1.10000.txt_central_coverage,TP63.10000.txt_central_coverage,ZBTB11.10000.txt_central_coverage,ZIM3.10000.txt_central_coverage,ZNF317.10000.txt_central_coverage,ZNF382.10000.txt_central_coverage,ZSCAN16.10000.txt_central_coverage,ZSCAN4.10000.txt_central_coverage
filtered_MAL0638.hg19.frag,1,0.96141,0.50643,5.50614,1.07634,0.51347,1.13296,0.98509,1.00982,0.94705,0.94449,0.80758,1.00563,0.87362,1.01077,0.95965,0.90877,0.92693,0.98972,0.98427,0.90436,0.9691,0.93407,0.93264,0.83759,0.87254,0.91425,1.03327,0.87637,0.92394,0.86892,1.06579,0.87726,0.80515,0.96799,0.95445,0.82877,0.8645,0.99831,0.95793,0.88383,1.00032,0.76227,1.01106,0.99082,1.00272,0.87263,0.95542
filtered_MAL0638m.hg19.frag,0,1.04832,0.51529,6.29384,0.65808,0.19908,0.74993,0.96308,1.00002,0.94738,0.93759,0.77586,0.99955,0.84135,1.01223,0.96195,0.89038,0.93616,0.98618,1.0069,0.92271,1.03585,0.99199,0.91753,0.789,0.85016,0.92399,1.01912,0.91879,0.93845,0.82201,1.05589,0.87263,0.76212,0.9486,0.94915,0.78878,0.81231,0.96083,0.93795,0.85671,0.99497,0.77271,1.00591,1.00554,0.99914,0.83241,0.89812
filtered_MAL0642.hg19.frag,1,0.98572,0.3799,5.92746,0.80139,0.2104,0.84822,0.9519,1.00564,0.94796,0.93793,0.79082,1.01384,0.89764,1.00986,0.9561,0.90487,0.94331,1.01716,1.00697,0.91947,0.95963,0.98382,0.89832,0.80416,0.83765,0.94939,1.0249,0.91788,0.9398,0.8345,1.02909,0.90289,0.7801,0.9562,0.93352,0.82426,0.80923,0.95813,0.97422,0.85724,0.99075,0.73722,0.99921,1.00289,1.02162,0.82326,0.94352
filtered_MAL0642m.hg19.frag,0,0.90019,0.54168,5.55928,0.38027,0.35201,1.54024,0.95702,0.99922,0.9444,0.94111,0.83489,1.01198,0.89491,1.00287,0.97077,0.91613,0.962,0.97537,0.98108,0.92613,1.03237,0.92798,0.94065,0.84037,0.88473,0.93074,1.03924,0.9413,0.93193,0.86521,1.04848,0.87473,0.81098,0.98825,0.96133,0.85505,0.83031,0.97522,0.96827,0.86307,1.00255,0.80739,0.98076,0.99433,1.00415,0.80493,0.92765
filtered_MAL0665.hg19.frag,1,1.0081,0.21004,5.92479,0.88586,0.14853,0.87485,0.96593,1.02169,0.99109,0.98671,0.77944,1.00711,0.89979,1.01083,0.99145,0.94057,0.96232,1.00393,0.99854,0.91666,0.97958,0.95159,0.90429,0.80734,0.90165,0.91759,1.01127,0.93741,0.95499,0.82418,1.03088,0.89455,0.82098,0.98727,0.98427,0.78517,0.82279,0.9831,0.95901,0.86852,0.97834,0.74403,0.98863,1.01584,1.02372,0.83772,0.92958
filtered_MAL0665m.hg19.frag,0,1.02236,0.57613,6.40805,0.54593,0.07396,1.10984,0.94634,1.01749,0.94121,0.92422,0.80119,1.01662,0.86725,0.99794,0.94071,0.88311,0.90763,0.99667,1.01054,0.90523,1.03002,0.95244,0.91877,0.8329,0.86315,0.88008,1.01819,0.89338,0.90703,0.87521,1.04731,0.88614,0.78178,0.9328,0.92794,0.86311,0.83123,0.95329,0.94531,0.86631,0.98964,0.75148,0.98784,0.98595,0.99319,0.83923,0.93017
filtered_MAL0681.hg19.frag,1,1.79251,0.49933,5.89721,0.66594,0.60859,1.41675,0.94163,1.00894,0.95239,0.97409,0.83813,0.98145,0.93089,0.97087,0.93344,0.9248,0.95987,1.03651,1.01775,0.91126,0.86054,0.98597,0.96472,0.879,0.8151,0.94211,1.03219,0.97955,0.97573,0.91594,1.00789,0.90531,0.80712,1.00698,1.01317,0.81408,0.83079,0.97216,0.96607,0.90364,0.98576,0.73002,0.98589,1.0377,1.04104,0.89403,0.97367
filtered_MAL0681m.hg19.frag,0,0.20908,0.18513,5.95803,1.66875,0.46122,1.78212,0.89117,0.99663,0.9084,0.88933,0.7641,1.00145,0.84773,0.95734,0.90186,0.91141,0.9032,0.8854,0.96556,0.87524,1.0024,0.9811,0.89289,0.81539,0.81883,0.87504,1.01277,0.88553,0.95496,0.82206,0.95884,0.91568,0.7535,0.97185,0.93504,0.76318,0.83893,0.8678,0.98131,0.81125,0.95866,0.75972,1.04514,1.01108,1.01904,0.77495,0.84211
filtered_MAL0711.hg19.frag,1,1.45967,0.32285,5.60337,0.19436,0.30041,0.76764,0.96274,1.0491,0.95489,0.94002,0.78965,1.02966,0.88981,0.98553,0.97459,0.91807,0.93109,1.02991,1.04981,0.94507,0.93761,0.94182,0.91409,0.79244,0.90706,0.93797,1.04975,0.91939,0.96742,0.85861,1.03918,0.88225,0.76781,0.96898,0.93609,0.79947,0.82815,0.94557,0.97896,0.90291,1.05139,0.76417,1.03676,0.99613,1.06173,0.89658,0.94731
filtered_MAL0711m.hg19.frag,0,1.13788,0.29744,6.16106,0.78265,0.41929,1.03524,0.96604,1.00978,0.94573,0.95248,0.78006,1.00033,0.87418,0.99589,0.98445,0.90789,0.93639,0.99536,1.00318,0.91024,1.02541,0.97809,0.90314,0.80128,0.85657,0.93652,1.03369,0.89008,0.92077,0.82632,1.04465,0.86886,0.77284,0.94628,0.93657,0.79393,0.82554,0.94261,0.95221,0.85654,0.97527,0.72619,0.98952,0.99454,1.00431,0.82964,0.9026
