sample,label,AHR.10000.txt_central_coverage,AR.10000.txt_central_coverage,ATF2.10000.txt_central_coverage,ATF7.10000.txt_central_coverage,CEBPA.10000.txt_central_coverage,EOMES.10000.txt_central_coverage,ERF.10000.txt_central_coverage,ESR1.10000.txt_central_coverage,FOXA1.10000.txt_central_coverage,FOXA2.10000.txt_amplitude,FOXA2.10000.txt_central_coverage,FOXA3.10000.txt_central_coverage,GATA4.10000.txt_central_coverage,GATA6.10000.txt_central_coverage,HLF.10000.txt_central_coverage,HMGA1.10000.txt_central_coverage,HOXA2.10000.txt_central_coverage,IKZF2.10000.txt_central_coverage,IRF4.10000.txt_central_coverage,LEF1.10000.txt_amplitude,MIXL1.10000.txt_amplitude,MYNN.10000.txt_central_coverage,NFIL3.10000.txt_central_coverage,NKX3.1.10000.txt_central_coverage,NR1H2.10000.txt_amplitude,NR1H2.10000.txt_central_coverage,NR2F6.10000.txt_central_coverage,NR4A1.10000.txt_central_coverage,NR5A2.10000.txt_amplitude,PHOX2B.10000.txt_central_coverage,PRDM1.10000.txt_central_coverage,RARA.10000.txt_central_coverage,SOX13.10000.txt_central_coverage,SOX5.10000.txt_central_coverage,SPIB.10000.txt_central_coverage,TCF3.10000.txt_central_coverage,TCF4.10000.txt_central_coverage,TCF7.10000.txt_central_coverage,TLX1.10000.txt_central_coverage,TP63.10000.txt_central_coverage,ZBTB11.10000.txt_central_coverage,ZIM3.10000.txt_amplitude,ZIM3.10000.txt_central_coverage,ZNF317.10000.txt_central_coverage,ZNF382.10000.txt_central_coverage,ZSCAN16.10000.txt_central_coverage,ZSCAN4.10000.txt_central_coverage
filtered_MAL0638.hg19.frag,1,1.126668,-0.33529,-0.388066,0.113349,0.43057,-0.517207,-0.310012,0.599134,-0.26745,-0.092978,-0.231352,-0.582847,-0.577525,-1.459288,-0.952349,-0.025532,-1.93294,0.992085,0.659623,0.1895,-1.13375,0.001372,-0.750366,0.351481,1.311411,-1.839809,-0.590299,0.911497,0.8095,0.972949,-0.659343,0.343089,0.149011,0.142737,0.538356,1.430567,1.936611,-0.294033,0.850646,0.371708,0.552143,0.758046,0.347006,-0.653755,-0.384367,0.971969,1.045976
filtered_MAL0638m.hg19.frag,0,0.093764,-0.909036,-0.373496,-0.209169,-0.728077,-0.98499,-1.852994,0.705159,-0.159197,0.18785,-1.036989,-0.19782,-0.718778,-0.132503,-0.14549,0.861257,1.131557,0.250903,-1.131581,0.228118,1.131177,-0.891028,-0.270278,-0.486506,-0.164212,0.025165,0.173991,-1.090991,-0.501637,0.675544,-0.955727,-0.949268,-0.80702,-0.098465,-0.881865,-0.786876,0.248905,-1.575896,-0.380057,0.102653,0.829308,-0.408944,0.124904,0.173299,-0.613385,-0.618583,-0.950827
filtered_MAL0642.hg19.frag,1,-0.430901,-0.58001,-0.347888,-0.193277,-0.181629,0.114453,0.838499,0.533049,-0.434536,-0.014426,-0.402205,0.100441,0.517385,-0.128399,-0.287954,-0.151343,0.69929,-0.691394,-0.572728,-0.362012,0.0777,-1.389863,0.981695,-0.144205,0.341386,-0.014842,0.245099,-0.55782,-0.454428,-0.129555,0.981333,-0.409259,-0.432299,-0.809785,0.378186,-0.917739,0.127325,0.75109,-0.356005,-0.109573,-0.112894,-0.109481,-0.164046,0.024407,0.824696,-0.980431,0.631282
filtered_MAL0642m.hg19.frag,0,-0.190625,-0.955872,-0.505067,-0.044638,1.428131,-0.028652,0.707964,0.025432,0.255928,-0.290796,0.091078,0.88009,-1.150119,-1.646317,0.00489,0.815025,-2.255157,1.384995,0.762104,0.343146,-0.980953,0.487446,0.062431,0.705034,-1.144326,1.014806,-0.16944,0.753125,0.136145,0.45294,-0.821298,0.518186,1.147937,0.455845,1.471675,-0.022094,0.89688,0.369354,-0.09144,0.483855,1.750006,1.998919,-0.959734,-0.456543,-0.292888,-1.705315,0.078241
filtered_MAL0665.hg19.frag,1,0.227511,0.359645,1.556368,2.086784,-0.59731,-0.403339,0.9413,0.603491,1.229261,0.057889,1.161755,0.893439,-0.010518,-0.622645,-0.411511,0.113698,-1.005972,-0.398551,-0.455502,-1.102388,0.070023,1.162129,-0.585736,-0.951396,0.639397,0.843784,1.045207,-0.998359,-0.712451,-0.075781,0.447457,0.818525,1.099618,1.499842,-1.010073,-0.341603,1.251712,-0.224743,0.15588,-0.733679,0.0679,-0.028346,-0.620327,0.752013,0.959037,-0.408592,0.145498
filtered_MAL0665m.hg19.frag,0,-0.691825,0.113754,-0.645911,-0.834106,0.19716,0.32834,-0.614592,-0.332587,-1.158888,0.103967,-1.355476,-1.387942,-0.300207,0.080909,-0.914094,0.783805,-0.960999,0.311728,0.486733,0.493304,1.459573,-0.373053,-2.434614,-0.541582,-0.559877,-1.091973,-1.481005,1.180004,-1.023439,0.417792,-0.0909,-0.358803,-1.586044,-1.06373,1.757921,0.016995,-0.090617,-1.103698,0.05559,-0.165396,0.265686,0.687606,-0.654397,-0.92738,-0.994016,-0.348877,0.166059
filtered_MAL0681.hg19.frag,1,-0.91286,-0.38681,-0.152296,1.496903,1.54648,-2.377565,2.428339,-2.298424,-1.501061,2.59252,0.470896,0.791238,1.289488,0.503627,-0.648952,-1.467776,0.813044,2.565686,2.186147,0.158553,-0.00928,-2.289041,0.622862,0.287521,-0.136481,2.696448,2.137652,2.918682,1.20619,-0.766424,1.136246,0.402256,2.071426,2.815077,0.016649,-0.0017,0.759089,0.228208,1.749622,-0.360523,-0.304043,1.622678,-0.738494,1.980234,2.067025,1.818259,1.681956
filtered_MAL0681m.hg19.frag,0,-3.280891,-1.107505,-2.094523,-2.464924,-1.157639,-0.838808,-1.547935,-3.280979,-2.987417,-2.52395,-0.115698,-1.572739,-4.7401,-2.556247,-2.23277,0.416867,0.555377,-0.957748,-0.15875,-1.210965,0.1656,-2.140308,-2.683037,-0.862564,3.401434,-1.437094,1.043627,-1.088857,0.591596,-2.239934,1.80007,-1.20816,0.339329,-0.74061,-1.791034,0.344152,-3.940189,1.205965,-2.443027,-1.723397,0.484444,2.735863,1.816766,0.484569,0.65965,-2.890912,-2.902675
filtered_MAL0711.hg19.frag,1,0.077808,1.964377,-0.041917,-0.095587,-0.224365,1.33161,0.464109,-1.233808,0.435722,1.517028,0.176066,-0.409314,1.026135,2.38329,0.837691,-0.443883,-1.522894,0.082163,-1.00477,-0.610678,-0.854178,1.377853,0.4188,1.327454,-1.800217,0.051544,1.699937,0.471385,-0.079049,0.173559,-0.339914,-0.778376,0.197823,-0.692824,-0.502216,-0.113868,-0.438245,1.055195,1.716495,2.940046,0.602585,-0.354986,1.455364,-0.355409,3.390598,1.919102,0.763357
filtered_MAL0711m.hg19.frag,0,0.232673,-0.337632,-0.446346,0.486815,-0.574663,-0.924978,-0.283235,-0.481459,0.899797,0.477242,-0.269904,-0.188225,-0.352478,-0.350604,-0.693802,0.72256,0.39612,-0.454961,-0.678896,-0.721434,0.749386,-0.63543,0.347329,0.376354,0.275272,-1.237055,-0.757274,-0.907007,0.41673,0.337883,-1.19706,-0.627305,-0.921408,-0.670979,-0.698966,-0.224761,-0.571532,-0.661013,-0.387771,-0.888071,-0.405723,0.460319,-0.581944,-0.444744,-0.282652,-0.728126,-0.794707
